Geneid	Chr	Start	End	Strand	Length	A1014C05.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1014C06.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C13.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C14.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C23.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C24.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam
"LINC01177"	chr16	9441293	9444985	-	3693	63	41	40	38	33	24
"LINC01195"	chr16	9446009	9455505	-	9497	191	173	127	183	144	133
"RP11-418I22.2"	chr16	9466654	9517564	+	50911	979	688	628	940	626	492
"RP11-418I22.3"	chr16	9542044	9614894	+	72851	1373	960	916	1142	1080	695
"RNA5SP403"	chr16	9564389	9564497	-	109	3	5	3	1	1	0
"RNA5SP404"	chr16	9600096	9600228	+	133	1	2	4	3	3	3
"RP11-297M9.1"	chr16	9666884	9676843	-	9960	162	103	99	106	107	84
"GRIN2A"	chr16	9753403	10182754	-	429352	6995	4688	4939	5273	5277	3712
"RP11-297M9.2"	chr16	9794636	9805571	+	10936	236	139	179	170	180	126
"RP11-895K13.2"	chr16	10033683	10037297	+	3615	31	40	33	41	28	26
"IMPDH1P11"	chr16	10111381	10112885	+	1505	35	34	32	27	34	22
"RN7SL493P"	chr16	10221774	10222073	-	300	2	1	1	0	2	0
"ATF7IP2"	chr16	10326433	10483638	+	157206	1523	949	911	1037	1005	701
"RP11-609N14.1"	chr16	10351439	10352752	-	1314	10	11	10	12	11	6
"RP11-609N14.4"	chr16	10445308	10449747	-	4440	38	27	19	25	29	27
"RNU6-633P"	chr16	10496271	10496374	+	104	2	5	0	1	0	0
"LINC01290"	chr16	10514841	10528202	-	13362	79	40	59	39	53	20
"EMP2"	chr16	10528421	10580698	-	52278	301	150	176	137	127	108
"RP11-27M24.1"	chr16	10529439	10532082	+	2644	27	12	21	14	11	8
"RP11-27M24.2"	chr16	10576498	10578183	-	1686	2	2	0	3	0	1
"TEKT5"	chr16	10627500	10694945	-	67446	659	355	394	372	392	313
"RP11-109M19.1"	chr16	10691272	10692973	+	1702	16	10	9	7	10	13
"MTCYBP33"	chr16	10718632	10719762	-	1131	14	7	8	6	10	8
"MTND6P33"	chr16	10719832	10720015	+	184	1	1	1	0	1	1
"MTND5P33"	chr16	10720014	10721464	-	1451	20	13	10	18	17	12
"MTND4P34"	chr16	10721697	10723068	-	1372	9	8	11	9	8	10
"MTND4LP24"	chr16	10723064	10723355	-	292	4	1	1	0	1	3
"MTND3P13"	chr16	10723423	10723766	-	344	3	1	1	1	2	2
"MTCO3P24"	chr16	10723835	10724617	-	783	13	6	9	12	8	3
"MTATP6P24"	chr16	10724619	10725296	-	678	4	1	2	1	0	1
"NUBP1"	chr16	10743785	10769351	+	25567	163	90	96	99	87	73
"TVP23A"	chr16	10760918	10818794	-	57877	674	416	411	376	432	337
"RP11-876N24.1"	chr16	10840383	10841544	-	1162	5	1	2	1	0	5
"RP11-876N24.2"	chr16	10864913	10888752	-	23840	177	96	122	64	120	77
"CIITA"	chr16	10866221	10932281	+	66061	561	202	438	215	417	167
"DEXI"	chr16	10928890	10942460	-	13571	42	17	22	15	19	12
"RP11-876N24.3"	chr16	10933902	10936280	+	2379	8	6	7	2	5	2
"RP11-876N24.7"	chr16	10934257	10934887	-	631	3	4	3	1	2	1
"RP11-876N24.5"	chr16	10938885	10940044	-	1160	4	6	3	2	7	6
"RP11-876N24.4"	chr16	10940718	10943021	+	2304	6	0	2	2	3	1
"CLEC16A"	chr16	10944487	11182189	+	237703	1556	1006	895	811	824	840
"RPL7P46"	chr16	11027023	11027763	+	741	10	2	3	7	5	3
"RP11-66H6.4"	chr16	11056555	11057034	+	480	2	1	4	1	0	1
"RP11-66H6.3"	chr16	11066495	11071102	-	4608	23	28	14	13	12	16
"RP11-396B14.2"	chr16	11196176	11224969	+	28794	189	120	121	68	109	68
"HNRNPCP4"	chr16	11242652	11243552	+	901	10	17	10	7	13	10
"RMI2"	chr16	11249618	11351762	+	102145	810	449	514	423	446	406
"SOCS1"	chr16	11254404	11256179	-	1776	0	0	0	0	1	1
"TNP2"	chr16	11267747	11269533	-	1787	53	54	32	40	44	45
"PRM3"	chr16	11273217	11273641	-	425	11	4	3	2	2	0
"PRM2"	chr16	11275638	11276480	-	843	10	5	4	5	4	2
"PRM1"	chr16	11280835	11281350	-	516	2	1	1	2	4	3
"MIR548H2"	chr16	11306439	11306527	-	89	2	0	3	0	1	1
"RP11-485G7.5"	chr16	11341808	11345211	-	3404	30	8	15	8	17	9
"RP11-485G7.6"	chr16	11348142	11349321	-	1180	7	1	5	3	3	0
"CTD-3088G3.8"	chr16	11359844	11523588	-	163745	1247	723	783	686	728	568
"CTD-3088G3.4"	chr16	11380858	11381118	-	261	3	2	1	1	1	2
"CTD-3088G3.6"	chr16	11465259	11473174	+	7916	31	22	14	15	19	13
"LITAF"	chr16	11547721	11636381	-	88661	448	216	249	220	241	162
"SNN"	chr16	11668413	11679159	+	10747	17	9	7	10	10	6
"TXNDC11"	chr16	11679079	11742878	-	63800	278	111	119	135	110	97
"RP11-490O6.2"	chr16	11741909	11744506	+	2598	8	4	4	0	7	1
"ZC3H7A"	chr16	11750585	11797267	-	46683	159	100	79	99	80	59
"RP11-486I11.2"	chr16	11797467	11798275	+	809	0	2	0	2	0	0
"BCAR4"	chr16	11819828	11828845	-	9018	86	50	68	49	53	49
"RSL1D1"	chr16	11833849	11851585	-	17737	69	25	40	31	43	26
"RP11-166B2.8"	chr16	11851648	11895611	+	43964	201	93	101	88	103	67
"GSPT1"	chr16	11868127	11916082	-	47956	178	72	93	82	88	63
"RP11-166B2.3"	chr16	11881074	11882569	-	1496	2	0	4	1	2	3
"COX6CP1"	chr16	11903922	11904137	-	216	1	0	1	2	1	1
"RP11-166B2.5"	chr16	11908207	11908916	+	710	8	1	8	8	6	6
"RP11-166B2.9"	chr16	11926198	11926307	+	110	1	2	1	1	0	0
"NPIPB2"	chr16	11927372	11976643	-	49272	347	160	212	209	202	149
"TNFRSF17"	chr16	11965106	11968068	+	2963	14	3	5	12	6	5
"UBL5P4"	chr16	11968507	11968743	-	237	2	0	1	1	1	0
"SNX29"	chr16	11976736	12574289	+	597554	7660	4525	4857	4951	5041	3391
"RP11-166B2.7"	chr16	11976850	11977850	-	1001	3	2	2	0	2	0
"RPS23P6"	chr16	12081236	12081902	+	667	3	3	1	2	0	4
"RP11-276H1.3"	chr16	12086745	12090302	-	3558	13	6	7	3	8	5
"RP11-276H1.2"	chr16	12093626	12095307	-	1682	4	3	1	0	4	0
"RP11-165M1.3"	chr16	12366981	12372582	-	5602	108	76	58	57	78	47
"RP11-165M1.2"	chr16	12372811	12373899	+	1089	14	12	10	12	14	6
"RP11-165M1.1"	chr16	12374354	12376032	+	1679	21	9	9	11	11	4
"RP11-552C15.1"	chr16	12545481	12546684	+	1204	30	14	16	15	9	18
"CTD-3037G24.4"	chr16	12556352	12557694	-	1343	19	15	20	26	18	5
"CTD-3037G24.3"	chr16	12560755	12611044	-	50290	1004	563	658	619	629	427
"CTD-3037G24.5"	chr16	12614450	12614852	+	403	7	2	11	2	5	2
"CPPED1"	chr16	12659798	12804017	-	144220	2242	1366	1555	1558	1560	986
"MIR4718"	chr16	12720320	12720371	+	52	0	2	0	0	0	0
"CTD-2583P5.1"	chr16	12745872	12757835	+	11964	156	100	117	101	91	73
"CTD-2583P5.3"	chr16	12759281	12761162	+	1882	33	11	16	21	21	4
"RP11-14K2.1"	chr16	12881169	12881493	+	325	11	10	3	4	4	7
"SHISA9"	chr16	12901619	13240413	+	338795	6702	5280	4745	6693	5136	3720
"AC009134.1"	chr16	13197605	13204907	-	7303	161	107	99	176	107	86
"U91319.1"	chr16	13246315	13562918	+	316604	5820	4596	4021	5710	4255	3220
"AC003009.1"	chr16	13331367	13332583	-	1217	29	20	19	23	11	8
"TMF1P1"	chr16	13458325	13458698	+	374	7	1	8	4	3	5
"U95743.1"	chr16	13730136	13779760	-	49625	951	658	596	858	675	473
"ERCC4"	chr16	13920156	13952345	+	32190	239	146	159	178	176	143
"RPS26P52"	chr16	13922331	13922679	-	349	3	1	0	0	0	0
"CTD-2135D7.2"	chr16	13930676	13935635	-	4960	37	28	31	35	32	26
"CTD-2135D7.3"	chr16	13953154	13954825	+	1672	15	8	15	19	17	9
"LINC02185"	chr16	14009279	14016016	-	6738	57	40	35	27	43	25
"LINC02186"	chr16	14018879	14021077	-	2199	35	30	17	33	32	19
"MKL2"	chr16	14071320	14266773	+	195454	1392	805	853	818	875	669
"CTA-276F8.1"	chr16	14150832	14153235	+	2404	25	15	14	15	11	8
"CTA-276F8.2"	chr16	14191819	14200277	-	8459	90	36	44	30	47	16
"TVP23CP2"	chr16	14200356	14200979	+	624	19	11	8	7	8	9
"MIR193BHG"	chr16	14301388	14326744	+	25357	112	60	64	56	57	49
"MIR193B"	chr16	14303966	14304049	+	84	0	0	0	0	0	0
"MIR365A"	chr16	14309284	14309371	+	88	0	0	1	0	0	0
"LINC02130"	chr16	14363108	14370266	-	7159	38	25	23	19	29	15
"RP11-65J21.4"	chr16	14408038	14418872	-	10835	98	58	65	60	62	44
"PARN"	chr16	14435700	14632728	-	197029	705	417	379	398	383	331
"RN7SL274P"	chr16	14601822	14602094	-	273	2	2	2	4	1	2
"BFAR"	chr16	14632814	14669236	+	36423	97	57	67	57	76	42
"RNU7-125P"	chr16	14643787	14643849	+	63	0	0	0	0	0	0
"PLA2G10"	chr16	14672544	14694669	-	22126	150	78	81	92	83	62
"RP11-82O18.2"	chr16	14695566	14707055	-	11490	57	36	27	41	50	26
"NPIPA3"	chr16	14708943	14726338	+	17396	132	59	85	73	74	63
"RP11-719K4.3"	chr16	14727281	14733347	-	6067	30	15	10	17	13	7
"RP11-719K4.6"	chr16	14734684	14746177	-	11494	59	39	41	26	42	26
"NPIPA2"	chr16	14748065	14765413	+	17349	128	71	66	68	88	41
"RP11-680G24.1"	chr16	14766401	14770075	-	3675	27	7	14	9	10	11
"ABCC6P2"	chr16	14820791	14824702	-	3912	12	12	22	9	21	8
"NOMO1"	chr16	14833680	14896160	+	62481	189	125	113	110	83	66
"RP11-719K4.7"	chr16	14862379	14862749	-	371	2	0	0	1	0	2
"MIR3179-1"	chr16;chr16	14901498;14901507	14902174;14901591	+;+	677	1	0	0	0	3	1
"MIR3670-1"	chr16	14907716	14907781	+	66	2	1	2	1	1	0
"MIR3180-1"	chr16;chr16	14909886;14911219	14911345;14911313	-;+	1555	10	4	11	4	8	4
"RP11-958N24.1"	chr16	14911550	14935708	+	24159	73	27	41	27	21	13
"NPIPA1"	chr16	14922801	14952060	+	29260	152	66	109	71	90	58
"MIR6511A1"	chr16	14925936	14926003	+	68	0	0	0	0	0	0
"MIR6770-1"	chr16	14930819	14930879	+	61	0	0	0	0	0	0
"RP11-680G24.7"	chr16	14953011	14953120	-	110	2	0	0	1	0	0
"PDXDC1"	chr16	14974590	15139339	+	164750	593	338	331	331	336	224
"RP11-680G24.4"	chr16	14988258	14990160	-	1903	7	3	4	4	6	3
"MIR1972-1"	chr16	15010320	15010397	-	78	0	0	0	0	1	0
"RP11-680G24.6"	chr16	15015827	15016390	-	564	1	0	1	2	0	0
"NTAN1"	chr16	15037852	15056079	-	18228	53	19	22	24	20	13
"RRN3"	chr16	15060021	15094317	-	34297	78	64	45	53	46	51
"RP11-72I8.1"	chr16	15094410	15109197	+	14788	77	50	50	42	56	30
"NPIPP1"	chr16	15104311	15123498	-	19188	108	69	73	72	77	36
"PKD1P6-NPIPP1"	chr16	15104722	15131601	-	26880	142	81	89	84	96	41
"PKD1P6"	chr16	15125241	15154564	-	29324	65	21	32	25	21	10
"MIR6511B2"	chr16	15134074	15134145	-	72	0	0	0	0	0	0
"MIR3180-4"	chr16;chr16	15154849;15154902	15155002;15157020	-;+	2273	13	12	10	11	11	9
"RP11-72I8.2"	chr16	15358977	15362674	+	3698	24	11	7	6	14	9
"NPIPA5"	chr16	15363623	15381047	-	17425	128	62	68	67	78	37
"MPV17L"	chr16	15395753	15413268	+	17516	85	55	54	32	55	27
"RP11-1021N1.1"	chr16	15395753	15515348	+	119596	683	384	434	375	415	303
"C16orf45"	chr16	15434294	15625028	+	190735	1167	684	735	714	740	541
"KIAA0430"	chr16	15594385	15643166	-	48782	136	75	88	81	62	55
"CTB-193M12.1"	chr16	15608473	15610563	+	2091	6	0	1	2	1	0
"MIR6506"	chr16	15611029	15611095	-	67	0	0	0	0	0	0
"NDE1"	chr16	15643266	15726353	+	83088	236	97	140	125	111	85
"MIR484"	chr16	15643293	15643372	+	80	0	0	0	0	0	0
"CTB-193M12.3"	chr16	15683289	15684570	+	1282	4	4	1	5	3	1
"CTB-193M12.5"	chr16	15701236	15702118	+	883	0	0	0	0	0	0
"MYH11"	chr16	15703171	15857033	-	153863	883	508	596	523	506	401
"AF001548.5"	chr16	15726673	15732993	+	6321	29	18	17	16	12	14
"AF001548.6"	chr16	15741150	15741791	+	642	6	3	2	2	1	2
"AF001548.3"	chr16	15790974	15792717	-	1744	5	0	5	0	5	2
"FOPNL"	chr16	15865719	15888625	-	22907	47	18	31	23	33	24
"RNU6-213P"	chr16	15877162	15877266	-	105	0	0	0	0	0	0
"CTA-972D3.2"	chr16	15885028	15886158	+	1131	2	2	4	7	3	1
"RPL15P20"	chr16	15931696	15932294	-	599	6	4	2	2	4	2
"ABCC1"	chr16	15949576	16143074	+	193499	647	367	397	358	355	290
"RPL17P40"	chr16	16094191	16095209	-	1019	8	7	3	6	2	3
"ABCC6"	chr16	16148927	16223522	-	74596	405	214	272	244	293	183
"RP11-517A5.7"	chr16	16223026	16224261	+	1236	3	3	0	0	0	0
"NOMO3"	chr16	16232494	16294814	+	62321	189	112	101	117	101	95
"RP11-517A5.6"	chr16	16260865	16261235	-	371	0	0	0	0	1	0
"RP11-517A5.5"	chr16	16290134	16292242	-	2109	1	4	2	7	5	2
"MIR3179-2"	chr16	16300158	16300242	+	85	0	0	0	0	1	0
"MIR3670-2"	chr16	16306369	16306434	+	66	2	2	0	2	1	0
"MIR3180-2"	chr16;chr16	16308541;16309878	16310000;16309966	-;+	1549	15	3	11	3	7	4
"PKD1P1"	chr16	16310340	16334190	+	23851	54	21	48	24	28	17
"AC138969.4"	chr16	16317443	16350590	+	33148	154	88	113	80	96	55
"MIR6511A2"	chr16	16324587	16324654	+	68	0	0	1	0	0	0
"MIR6770-2"	chr16	16329304	16329364	+	61	0	0	0	0	0	0
"RP11-958N24.4"	chr16	16351544	16351653	-	110	2	0	0	0	0	0
"RP11-958N24.2"	chr16	16356223	16377507	+	21285	65	27	43	28	39	20
"MIR6511A3"	chr16	16368875	16368942	+	68	0	0	0	0	0	0
"NPIPA7"	chr16	16379054	16393954	+	14901	113	63	80	45	60	39
"RP11-467M13.2"	chr16	16394911	16398594	-	3684	22	11	9	14	7	6
"RP11-467M13.3"	chr16	16541216	16541847	-	632	9	3	8	12	9	3
"RP11-14N9.2"	chr16	16658226	16664135	+	5910	72	54	45	65	44	39
"RP11-14N9.1"	chr16	16760904	16762465	+	1562	14	13	8	12	5	7
"RP11-419L9.1"	chr16	16952501	16953468	-	968	11	3	7	9	6	3
"CTD-2576D5.1"	chr16	17082294	17085049	-	2756	67	71	56	111	50	41
"CTD-2576D5.3"	chr16	17094350	17094927	-	578	9	2	4	7	6	9
"CTD-2576D5.2"	chr16	17096201	17096421	-	221	4	4	1	4	0	2
"XYLT1"	chr16	17101768	17470881	-	369114	6953	5053	4651	5974	4898	3396
"CTD-2576D5.4"	chr16	17134503	17138736	+	4234	84	52	38	58	49	23
"RP11-1102P22.3"	chr16	17192862	17194232	-	1371	32	21	20	37	31	11
"RP11-1102P22.1"	chr16	17227022	17228000	-	979	28	19	24	33	17	11
"RP11-1102P22.2"	chr16	17249673	17251395	-	1723	58	39	40	58	38	32
"RP11-567P19.1"	chr16	17445824	17446380	-	557	9	6	4	9	5	4
"RP11-916L7.1"	chr16	17540330	17540985	-	656	20	12	14	12	14	7
"CTD-3229J4.1"	chr16	17825251	17826906	+	1656	22	13	16	22	24	8
"RPL7P47"	chr16	17932719	17933275	+	557	13	20	13	23	16	8
"CTA-481E9.4"	chr16	17933188	18151595	-	218408	3511	2586	2288	3246	2529	1750
"CTA-481E9.2"	chr16	17961596	17962370	+	775	19	16	13	18	13	11
"CTA-481E9.3"	chr16	18002805	18173063	-	170259	2460	1835	1567	2229	1814	1212
"RP11-164A6.1"	chr16	18170355	18170959	+	605	11	16	13	16	8	4
"CTD-2036A2.1"	chr16	18201500	18201956	+	457	7	3	6	5	4	5
"RP11-1212A22.7"	chr16	18313293	18316984	+	3692	16	15	15	3	16	15
"NPIPA8"	chr16	18317941	18336736	-	18796	152	81	82	76	73	51
"RP11-1212A22.1"	chr16	18334399	18352476	-	18078	66	29	30	23	26	16
"MIR6511A4"	chr16	18344012	18344079	-	68	0	0	1	0	0	0
"RP11-1212A22.8"	chr16	18357025	18357136	+	112	2	0	1	0	0	0
"RP11-1212A22.4"	chr16	18358085	18379331	-	21247	159	67	73	69	85	50
"PKD1P5"	chr16	18374520	18401940	-	27421	88	31	21	31	34	21
"MIR6770-3"	chr16	18379350	18379410	-	61	0	0	0	0	0	0
"MIR3180-3"	chr16;chr16	18402145;18402177	18403604;18402271	+;-	1555	9	6	4	6	4	2
"MIR3670-3"	chr16	18405697	18405762	-	66	0	0	1	1	2	1
"MIR3179-3"	chr16;chr16	18411308;18411893	18411851;18411977	-;-	629	1	1	1	0	1	1
"NOMO2"	chr16	18417324	18562211	-	144888	356	215	221	228	209	183
"MIR3670-4"	chr16	18488300	18488365	-	66	1	2	2	1	1	2
"MIR3179-4"	chr16	18494492	18494576	-	85	0	0	0	0	0	0
"RP11-457I16.4"	chr16	18533417	18533817	+	401	0	0	0	0	1	0
"RP11-457I16.2"	chr16	18570447	18571683	-	1237	1	2	2	2	1	0
"ABCC6P1"	chr16	18571161	18598328	+	27168	202	108	125	103	112	95
"RPS15A"	chr16	18781294	18790383	-	9090	46	25	32	22	29	11
"RP11-1035H13.3"	chr16	18788062	18801519	-	13458	41	15	18	21	16	7
"ARL6IP1"	chr16	18791666	18801678	-	10013	30	9	12	17	14	6
"RP11-1035H13.2"	chr16	18803082	18812181	+	9100	23	12	17	15	6	10
"SMG1"	chr16	18804852	18926454	-	121603	703	367	431	429	405	262
"CTD-2288F12.1"	chr16	18926862	18937043	+	10182	80	37	49	40	54	29
"TMC7"	chr16	18983933	19063942	+	80010	751	369	419	405	413	282
"RNU6-1340P"	chr16	19012156	19012263	+	108	0	0	0	0	0	0
"RP11-626G11.5"	chr16	19062498	19067691	-	5194	21	9	8	15	15	6
"RP11-626G11.1"	chr16	19065990	19066694	+	705	1	0	1	2	1	0
"COQ7"	chr16	19067598	19080095	+	12498	58	19	25	26	21	21
"RP11-626G11.4"	chr16	19086855	19098110	+	11256	86	43	42	33	38	40
"RP11-626G11.6"	chr16	19111034	19111484	-	451	3	2	1	3	1	2
"ITPRIPL2"	chr16	19113931	19121629	+	7699	23	8	7	11	11	3
"CTD-2349B8.1"	chr16	19114001	19173578	+	59578	418	265	295	252	279	217
"RP11-626G11.3"	chr16	19119975	19121629	-	1655	6	1	3	2	2	0
"SYT17"	chr16	19167970	19268334	+	100365	949	585	614	550	594	446
"CLEC19A"	chr16	19285738	19322145	+	36408	584	369	364	355	431	315
"CTA-363E6.1"	chr16	19315163	19316526	+	1364	11	7	4	6	11	7
"CTA-363E6.2"	chr16	19343646	19401693	-	58048	582	353	390	327	391	297
"CTA-363E6.3"	chr16	19392212	19393468	-	1257	5	2	1	4	11	5
"TMC5"	chr16	19410495	19499113	+	88619	767	359	465	390	501	305
"CTA-363E6.5"	chr16	19410728	19411662	-	935	2	0	0	1	0	0
"CTA-363E6.6"	chr16	19476915	19487899	-	10985	110	56	81	70	90	60
"RNU4-46P"	chr16	19498609	19498747	+	139	1	0	0	0	1	0
"CTA-363E6.7"	chr16	19501688	19502286	+	599	0	1	1	0	0	2
"GDE1"	chr16	19501688	19522145	-	20458	88	31	39	40	58	31
"CTA-363E6.8"	chr16	19503860	19504625	+	766	5	1	0	0	1	0
"CCP110"	chr16	19523810	19553408	+	29599	113	50	60	59	54	61
"C16orf62"	chr16	19555239	19706793	+	151555	1408	752	911	786	1001	652
"AC002550.6"	chr16	19694034	19694428	-	395	3	0	1	0	0	0
"KNOP1"	chr16	19701933	19718235	-	16303	52	32	43	24	19	22
"AC002550.5"	chr16	19706350	19715383	+	9034	20	9	16	10	5	10
"IQCK"	chr16	19716455	19858467	+	142013	1117	739	674	735	725	601
"CTD-2380F24.1"	chr16	19761171	19766099	-	4929	33	43	23	55	34	24
"LARP7P2"	chr16	19819503	19819628	-	126	0	1	0	2	2	1
"GPRC5B"	chr16	19856690	19886167	-	29478	184	94	113	98	115	68
"GPR139"	chr16	20031484	20073917	-	42434	748	533	531	631	523	336
"RP11-204E4.4"	chr16	20155647	20158391	+	2745	98	83	101	134	90	81
"RP11-204E4.3"	chr16	20208924	20209525	+	602	20	20	12	19	21	13
"SNRPEP3"	chr16	20238971	20239247	-	277	5	1	5	9	5	6
"GP2"	chr16	20309571	20327808	-	18238	441	311	278	369	299	209
"UMOD"	chr16	20333051	20356301	-	23251	386	206	267	229	239	145
"PDILT"	chr16	20359169	20404737	-	45569	894	551	586	676	646	425
"RP11-429K17.1"	chr16	20385956	20391164	+	5209	122	93	102	101	112	71
"ACSM5"	chr16	20409533	20441336	+	31804	512	344	346	406	352	236
"CTD-2194A8.2"	chr16	20440265	20447000	-	6736	107	62	70	68	66	37
"ACSM2A"	chr16	20451460	20487667	+	36208	715	682	501	842	550	482
"CTD-3076M17.1"	chr16	20487701	20489659	+	1959	46	32	28	34	37	30
"ACSM2B"	chr16	20536225	20576427	-	40203	760	610	516	878	597	420
"RP11-143N13.2"	chr16	20580998	20586640	+	5643	87	69	64	59	66	40
"ACSM5P1"	chr16	20586549	20607107	-	20559	404	295	242	360	308	205
"ACSM3"	chr16	20610242	20797581	+	187340	2753	1859	1771	2141	2004	1482
"RP11-143N13.4"	chr16	20616408	20616532	-	125	3	1	2	3	1	1
"RP11-143N13.3"	chr16	20618204	20620758	-	2555	25	25	31	35	24	17
"ACSM1"	chr16	20623236	20698890	-	75655	1292	909	813	1035	937	714
"THUMPD1"	chr16	20702815	20742084	-	39270	469	323	283	369	342	235
"AC004381.8"	chr16	20711472	20732990	+	21519	350	240	218	287	268	174
"AC004381.7"	chr16	20743662	20766620	-	22959	365	239	268	301	285	207
"ERI2"	chr16	20780192	20900349	-	120158	931	530	522	502	524	435
"RNU6-944P"	chr16	20784508	20784615	+	108	1	1	2	2	0	2
"AC004381.6"	chr16	20806428	20849668	+	43241	223	149	112	158	127	127
"U4atac"	chr16	20823442	20823537	+	96	0	0	0	0	0	0
"DCUN1D3"	chr16	20854924	20900384	-	45461	480	231	272	223	253	182
"LYRM1"	chr16	20899867	20925006	+	25140	228	154	127	123	137	103
"DNAH3"	chr16	20933110	21159441	-	226332	3527	2075	2258	2311	2438	1573
"CTC-508F8.1"	chr16	21120757	21130108	+	9352	114	72	69	74	94	59
"TMEM159"	chr16	21158376	21180616	+	22241	124	70	80	72	102	71
"AF001550.7"	chr16	21194846	21205977	+	11132	264	128	154	179	178	111
"ZP2"	chr16	21197449	21214510	-	17062	385	223	237	266	264	182
"ANKS4B"	chr16	21233664	21253845	+	20182	296	209	229	223	234	152
"CRYM"	chr16	21238873	21303083	-	64211	770	486	534	542	599	367
"AF001550.9"	chr16	21299902	21300506	+	605	14	4	7	5	11	6
"CRYM-AS1"	chr16	21300848	21318591	+	17744	131	94	98	84	109	83
"CTD-2547E10.6"	chr16	21315910	21339037	+	23128	254	226	172	194	184	149
"CTD-2547E10.3"	chr16	21347138	21352138	+	5001	24	10	16	11	12	4
"SNX29P1"	chr16	21376647	21386064	+	9418	121	70	97	74	85	49
"CTD-2547E10.5"	chr16	21401088	21401198	+	111	0	1	0	1	0	0
"NPIPB3"	chr16	21402236	21448567	-	46332	439	247	287	200	275	182
"SMG1P3"	chr16	21446682	21520444	-	73763	409	214	228	191	247	158
"MIR3680-1"	chr16	21506048	21506135	-	88	0	1	1	0	0	0
"SLC7A5P2"	chr16	21519829	21520365	-	537	0	1	0	0	0	0
"CTB-31N19.5"	chr16	21526823	21531141	-	4319	86	31	46	31	44	31
"CTB-31N19.2"	chr16	21532944	21550373	-	17430	299	133	175	165	191	115
"CTB-31N19.4"	chr16	21538486	21538794	+	309	8	2	3	2	2	1
"METTL9"	chr16	21597217	21657473	+	60257	405	223	235	211	228	176
"CTB-31N19.3"	chr16	21626741	21627569	+	829	8	2	5	3	1	1
"IGSF6"	chr16	21639536	21652660	-	13125	66	33	32	23	29	29
"RNU6-1005P"	chr16	21642053	21642160	+	108	0	0	1	0	0	0
"RNU6-196P"	chr16	21642293	21642400	+	108	0	0	0	0	0	0
"OTOA"	chr16	21678513	21760729	+	82217	1388	810	945	891	1067	680
"RP11-645C24.5"	chr16	21794094	21795759	-	1666	44	42	40	45	42	27
"RRN3P1"	chr16	21796105	21820410	-	24306	162	96	98	103	107	75
"RP11-645C24.6"	chr16	21833515	21833621	+	107	0	0	0	0	0	0
"NPIPB4"	chr16	21834568	21880827	-	46260	457	233	278	224	286	159
"SMG1P4"	chr16	21879337	21919156	-	39820	251	129	152	120	159	92
"RP11-645C24.4"	chr16	21938864	21944987	+	6124	94	74	92	92	73	84
"CTD-2649C14.2"	chr16	21950217	21951708	-	1492	10	4	7	8	11	3
"UQCRC2"	chr16	21952659	21983660	+	31002	112	67	53	74	82	40
"PDZD9"	chr16	21983864	22001110	-	17247	128	78	81	75	100	71
"CTD-2649C14.1"	chr16	21998309	21999656	+	1348	11	4	10	6	6	5
"CTD-2649C14.3"	chr16	22007479	22008062	-	584	3	0	1	1	0	0
"C16orf52"	chr16	22007637	22087534	+	79898	602	358	355	310	395	287
"RP11-101E7.2"	chr16	22083255	22092231	-	8977	138	92	94	84	77	80
"VWA3A"	chr16	22092537	22156966	+	64430	873	486	607	525	598	371
"SDR42E2"	chr16	22165582	22191754	+	26173	209	112	135	110	142	90
"EEF2K"	chr16	22206281	22288732	+	82452	546	304	316	311	324	258
"RP11-141O15.1"	chr16	22286707	22288738	-	2032	19	10	6	7	7	6
"POLR3E"	chr16	22297374	22335103	+	37730	142	58	62	50	78	64
"CDR2"	chr16	22345935	22437165	-	91231	598	354	386	306	379	245
"RP11-21M24.3"	chr16	22365120	22369047	+	3928	33	14	15	18	21	18
"RP11-21M24.2"	chr16	22374858	22378180	+	3323	18	13	11	7	19	5
"MFSD13B"	chr16	22382435	22407428	+	24994	191	125	138	103	123	86
"RRN3P3"	chr16	22418671	22437715	-	19045	99	50	66	42	63	32
"SMG1P1"	chr16	22437007	22492220	+	55214	384	150	211	172	216	138
"NPIPB5"	chr16	22479120	22536521	+	57402	516	240	340	260	317	202
"RP11-368J21.4"	chr16	22537477	22537584	-	108	0	0	0	0	0	1
"RP11-368J21.3"	chr16	22545697	22576865	+	31169	716	461	466	448	534	377
"RP11-105C19.2"	chr16	22610530	22612196	-	1667	53	42	40	65	39	47
"RP11-105C19.1"	chr16	22612542	22613483	-	942	35	15	14	18	22	13
"CTC-591M7.1"	chr16	22806288	22813680	-	7393	138	100	88	128	95	75
"HS3ST2"	chr16	22814176	22916338	+	102163	1722	1076	1133	1221	1184	731
"RP11-20G6.2"	chr16	23020336	23023611	+	3276	110	83	48	86	59	61
"RP11-20G6.3"	chr16	23061405	23064173	-	2769	12	3	1	7	3	5
"USP31"	chr16	23061405	23149270	-	87866	670	360	418	391	389	317
